levy,manufacturer,model,prod,category,leather,fuel,engine,mileage,cylinders,gear,drive,doors,wheel,color,airbags,price,turbo
1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,3.5,186005,6,Automatic,4x4,4,left,Silver,12,13328,0
1018.0,CHEVROLET,Equinox,2011,Jeep,0,Petrol,3.0,192000,6,Tiptronic,4x4,4,left,Black,8,16621,0
,HONDA,FIT,2006,Hatchback,0,Petrol,1.3,200000,4,Variator,Front,4,right,Black,2,8467,0
862.0,FORD,Escape,2011,Jeep,1,Hybrid,2.5,168966,4,Automatic,4x4,4,left,White,0,3607,0
446.0,HONDA,FIT,2014,Hatchback,1,Petrol,1.3,91901,4,Automatic,Front,4,left,Silver,4,11726,0
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,160931,4,Automatic,Front,4,left,White,4,39493,0
761.0,TOYOTA,Prius,2010,Hatchback,1,Hybrid,1.8,258909,4,Automatic,Front,4,left,White,12,1803,0
751.0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,216118,4,Automatic,Front,4,left,Grey,12,549,0
394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,398069,4,Automatic,Front,4,left,Black,12,1098,0
,LEXUS,RX 350,2007,Jeep,1,Petrol,3.5,128500,6,Automatic,4x4,4,left,Silver,12,26657,0
1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,184467,6,Automatic,Rear,4,left,White,12,941,0
,FORD,Transit,1999,Microbus,0,CNG,4.0,0,8,Manual,Rear,2,left,Blue,0,8781,0
,OPEL,Vectra,1997,Goods wagon,0,CNG,1.6,350000,4,Manual,Front,4,left,White,4,3000,0
1055.0,LEXUS,RX 450,2013,Jeep,1,Hybrid,3.5,138038,6,Automatic,Front,4,left,White,12,1019,0
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,76000,4,Automatic,Front,4,left,White,4,59464,0
1079.0,TOYOTA,CHR,2018,Jeep,1,Petrol,2.0,74146,4,Automatic,Front,4,left,White,12,549,0
810.0,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,121840,4,Automatic,Front,4,left,Blue,12,7683,0
810.0,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,54317,4,Automatic,Front,4,left,White,4,28382,0
2386.0,HYUNDAI,Sonata,2006,Sedan,1,Petrol,3.3,295059,6,Automatic,Rear,4,left,Blue,12,549,0
1850.0,LEXUS,RX 400,2008,Jeep,1,Hybrid,3.5,364523,6,Automatic,4x4,4,left,Black,12,941,0
531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,112645,4,Automatic,Front,4,left,Silver,4,18826,0
586.0,TOYOTA,Prius,2012,Sedan,1,Plug-in Hybrid,1.8,187000,4,Automatic,Front,4,left,White,12,20698,0
1249.0,TOYOTA,Camry,2017,Sedan,1,Petrol,2.5,39709,4,Automatic,Front,4,left,Black,12,17562,0
,FORD,Transit,2001,Microbus,0,Diesel,2.0,230000,4,Manual,Front,2,left,White,0,7840,1
,OPEL,Vectra,1995,Sedan,0,Petrol,1.8,0,4,Automatic,Front,4,left,Green,4,4704,0
,MERCEDES-BENZ,E 220,2006,Sedan,1,Diesel,2.2,210000,4,Tiptronic,Rear,4,left,Black,8,20385,1
2456.0,LEXUS,GX 470,2008,Jeep,1,Petrol,4.7,0,8,Automatic,4x4,4,left,White,0,549,0
,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.5,169000,4,Automatic,Front,4,left,White,8,30,0
583.0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.6,158787,4,Automatic,Front,4,left,Silver,4,14454,0
1537.0,TOYOTA,Highlander,2009,Jeep,1,Hybrid,3.3,420550,6,Automatic,4x4,4,left,Blue,12,12074,0
